Symbol,Timestamp,Last,Bid,Ask,BidSize,AskSize,Volume,Open,High,Low,Close,Spread,VWAP,RSI,EMA9,EMA26,ALMA,ATR,up_001_002,up_002_005,up_005_010,up_010_plus,dn_001_002,dn_002_005,dn_005_010,dn_010_plus
NVDA,1749244414439,141.9100,141.9100,141.9200,1000,1600,2417,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244414823,141.9100,141.9100,141.9200,1000,1600,2417,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244415074,141.9100,141.9100,141.9200,1000,1600,2417,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244415223,141.9200,141.9100,141.9200,1000,1600,2513,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244415223,141.9300,141.9100,141.9200,1000,1600,2612,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244415223,141.9200,141.9100,141.9200,1000,1600,2711,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244415223,141.9300,141.9100,141.9200,1000,1600,2836,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244415223,141.9400,141.9100,141.9200,1000,1600,2933,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244415223,141.9200,141.9100,141.9200,1000,1600,4548,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244415223,141.9400,141.9100,141.9200,1000,1600,4872,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
